,Epoch index,age_of_view,new_age_of_view,timeliness,consistence,completeness,intel_arrival_time,queuing_time,transmitting_time,service_time,service_rate,received_data,required_data
30,29,0.5199047405896668,230.31780008122243,144.49264381966682,1264.168130590253,0.5786106231365816,0.06808495243493312,0.00011127459205203058,0.002784048156508653,0.07098027518349381,0.0,3363,5814
31,30,0.5693918184958114,252.24057559364448,124.85831445711229,1086.6181222840376,0.6377939592386547,0.04982407477528269,0.00010582595592332937,0.003844996237772761,0.05377489696897878,0.0,3678,5814
32,31,0.49347128435299004,218.6077789683746,154.58601850757415,1315.138802130901,0.5616203992896986,0.04049171984122956,0.00010925934154181286,0.0036945071482317533,0.04429548633100313,0.0,3189,5814
33,32,0.574158415095911,254.35217788748858,123.55336934324345,1080.843225623137,0.6397189247922885,0.048665727514768185,9.240078848593903e-05,0.0034800601956358167,0.05223818849888994,0.0,3695,5814
34,33,0.5090771592105434,225.52118153027072,149.84041383654278,1314.55565690893,0.5618147810303563,0.05356447971105243,0.00012011833273421719,0.0026636568848758466,0.056348254928662495,0.0,3247,5814
35,34,0.5196367700253706,230.19908912123918,144.0724805054309,1239.0019498935992,0.5869993500354668,0.08032258397197853,9.918944652005046e-05,0.004202407825432656,0.08462418124393124,0.0,3381,5814
36,35,0.6142750027429971,272.1238262151477,109.5357176340362,940.9461306188165,0.6863512897937281,0.07028420826978994,0.00010307518251759847,0.003818660647103085,0.07420594409941061,0.0,3946,5814
37,36,0.5202333474494572,230.46337292010952,148.64073114723095,1255.7571942729946,0.5814142685756674,0.036111773740262976,9.941082651800613e-05,0.003299473288186606,0.03951065785496758,0.0,3347,5814
38,37,0.5363948528495763,237.6229198123623,157.13721328641017,1207.5270290281571,0.5974909903239474,0.037964089025189766,0.00010049916069258471,0.003449962377727615,0.04151455056360996,0.0,3448,5814
39,38,0.5801058062264081,256.98687215829875,120.69311043564689,1045.3345187543844,0.6515551604152051,0.06651110619165823,8.134611582717214e-05,0.002960872836719338,0.06955332514420474,0.0,3780,5814
40,39,0.5397426707485344,239.10600314160075,135.70853270600205,1162.3061757655416,0.6125646080781519,0.041266881223076125,9.126246555098793e-05,0.004138449962377728,0.045496593651004835,0.0,3545,5814
41,40,0.6220644287707175,275.5745419454279,117.10724211947031,906.5220144791265,0.6978259951736248,0.0732387905466624,0.00010496657118420456,0.0037697516930022576,0.07711350881084886,0.0,3977,5814
42,41,0.5492367591656752,243.31188431039408,148.52056304772492,1137.0204099888088,0.6209931966703973,0.05439453061408652,6.497713275478802e-05,0.003799849510910459,0.05825935725775177,0.0,3578,5814
43,42,0.5282129370818203,233.99833112724636,138.504265941892,1220.1922982961355,0.5932692339012873,0.08708424169470225,0.0001641028328174596,0.003762227238525207,0.09101057176604492,0.0,3396,5814
44,43,0.6149862829020047,272.4389233255881,155.35904971581434,928.6249773552262,0.6904583408815915,0.14669197356296113,9.801713087406664e-05,0.0038299473288186604,0.15061993802265383,0.0,3982,5814
45,44,0.5832976729707338,258.40086912603505,126.78987628853733,1028.8548453051833,0.6570483848982714,0.04638889147747014,0.00010781388246436146,0.0035741158765989467,0.05007082123653345,0.0,3846,5814
46,45,0.5754881819394342,254.94126459916936,122.1139646349944,1065.4023177725196,0.6448658940758262,0.04063304785719079,7.564801395286652e-05,0.003668171557562077,0.04437686742870573,0.0,3681,5814
47,46,0.47550117007880954,210.64701834491262,152.47334267982083,1412.8193946760557,0.5290602017746482,0.09221227554780381,8.49985775858453e-05,0.0029420617005267114,0.09523933582591637,0.0,3081,5814
48,47,0.43789876809765743,193.98915426726225,170.11929077186062,1556.7879825216187,0.4810706724927943,0.04881077465939631,0.00010524439461379815,0.003404815650865313,0.05232083470487543,0.0,2840,5814
49,48,0.5573676545979355,246.91387098688543,142.14447610272683,1122.0165274905703,0.6259944908364767,0.047104649846127916,8.755837812988834e-05,0.003310759969902182,0.050502968194159975,0.0,3649,5814
